"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2020S1","Hungary","Euro","487.10",""
"2020S1","Malta","Euro","777.10",""
"2020S1","Netherlands","Euro","1,653.60",""
"2020S1","Austria","Euro",":","z"
"2020S1","Poland","Euro","610.79",""
"2020S1","Portugal","Euro","740.83",""
"2020S1","Romania","Euro","466.23",""
"2020S1","Slovenia","Euro","940.58",""
"2020S1","Slovakia","Euro","580.00",""
"2020S1","Finland","Euro",":","z"
"2020S1","Sweden","Euro",":","z"
"2021S1","Belgium","Euro","1,625.72",""
"2021S1","Bulgaria","Euro","332.34",""
"2021S1","Czechia","Euro","579.22",""
"2021S1","Denmark","Euro",":","z"
"2021S1","Germany (until 1990 former territory of the FRG)","Euro","1,569.00",""
"2021S1","Estonia","Euro","584.00",""
"2021S1","Ireland","Euro","1,723.80",""
"2021S1","Greece","Euro","758.33",""
"2021S1","Spain","Euro","1,108.33",""
"2021S1","France","Euro","1,554.58",""
"2021S1","Croatia","Euro","562.77",""
"2021S1","Italy","Euro",":","z"
"2021S1","Cyprus","Euro",":","z"
"2021S1","Latvia","Euro","500.00",""
"2021S1","Lithuania","Euro","642.00",""
"2021S1","Luxembourg","Euro","2,201.93",""
"2021S1","Hungary","Euro","442.44",""
"2021S1","Malta","Euro","784.68",""
"2021S1","Netherlands","Euro","1,684.80",""
"2021S1","Austria","Euro",":","z"
"2021S1","Poland","Euro","614.08",""
"2021S1","Portugal","Euro","775.83",""
"2021S1","Romania","Euro","458.07",""
"2021S1","Slovenia","Euro","1,024.24",""
"2021S1","Slovakia","Euro","623.00",""
"2021S1","Finland","Euro",":","z"
"2021S1","Sweden","Euro",":","z"
